RAJ2000,DEJ2000,Vmag,e_Vmag,Bmag,e_Bmag,gpmag,e_gpmag,rpmag,e_rpmag,ipmag,e_ipmag,fuv_mag,nuv_mag,err,present,min_mag,max_mag
352.647863,-30.925988,11.722,1.328,12.314,1.298,11.539,0.015,11.097,0.033,10.96,0.035,23.491,16.022,1.8576670853519477,0,12.01,16.3
222.241714,0.178571,15.005,0.807,15.295,1.049,15.069,0.972,14.962,0.765,15.012,0.375,18.33,17.027,1.849941620700502,1,15.178,1.12
352.426836,-30.379417,11.675,1.312,12.145,1.286,11.431,0.021,11.05,0.038,10.968,0.036,21.897,15.555,1.8380209465618176,0,15.178,1.12
336.019675,-27.67743,10.67,0.363,10.896,0.361,11.119,0.815,11.357,1.423,10.883,0.534,16.738,13.59,1.798999722067794,0,15.178,1.12
242.952425,5.376147,14.744,0.819,15.06,1.086,14.817,0.907,14.699,0.611,14.782,0.365,23.549,18.91,1.783073750577917,1,14.869,1.06
136.251102,14.001139,12.745,0.017,13.237,0.07,13.563,1.327,12.623,0.017,13.125,1.184,23.336,16.447,1.7799615164379257,0,14.869,1.06
128.59671,7.908128,12.199,0.025,12.694,0.092,12.713,0.7,12.222,0.164,12.976,1.575,22.172,16.005,1.7339579002963137,0,14.869,1.06
136.29442,13.663514,11.707,0.008,12.348,0.02,13.074,1.558,11.512,0.054,11.728,0.757,23.68,16.699,1.7331454064792142,0,14.869,1.06
130.534017,9.000991,11.29,0.082,11.874,0.106,12.141,1.105,11.197,0.106,11.814,1.323,20.641,15.425,1.7322095716165522,0,14.869,1.06
118.151003,32.005618,9.153,0.088,9.427,0.136,9.578,0.519,9.197,0.013,9.986,1.639,14.74,12.996,1.7268731858477622,0,14.869,1.06
120.26673,22.124063,12.457,0.085,13.044,0.056,12.776,0.012,12.313,0.095,13.437,1.707,23.458,17.368,1.712711008897882,0,14.869,1.06
136.257957,13.947604,13.668,0.023,14.136,0.067,14.501,1.323,13.573,0.021,14.03,1.07,22.469,17.208,1.7031406283686616,0,14.869,1.06
142.26002,5.574508,12.226,0.779,12.583,0.83,12.305,0.802,12.188,0.699,11.935,0.645,16.124,14.501,1.686289121117728,1,10.5,13.5
129.98539,12.926096,15.563,0.748,16.478,0.878,15.57,0.158,15.545,1.217,14.57,0.05,22.437,20.405,1.684915724895462,1,14.91,1.08
117.301724,21.172419,10.965,0.05,11.591,0.017,11.28,0.032,10.815,0.063,12.107,1.681,22.71,15.924,1.6833131021886572,0,14.91,1.08
119.321952,22.718368,10.915,0.042,11.831,0.062,11.408,0.075,10.625,0.051,11.897,1.676,23.002,17.877,1.6801220193783546,1,10.69,10.71
118.748792,22.337974,12.083,0.056,12.711,0.033,12.406,0.045,11.92,0.047,13.282,1.676,23.484,16.975,1.6785216709950457,0,10.69,10.71
118.779681,22.087156,11.355,0.064,11.912,0.031,11.655,0.048,11.253,0.059,12.659,1.664,21.792,15.763,1.6672546296232018,0,10.69,10.71
131.035604,23.175329,11.049,0.042,12.311,1.596,11.317,0.02,10.919,0.022,10.953,0.467,23.094,15.914,1.663716622505167,0,10.69,10.71
119.182244,22.700889,10.13,0.049,10.496,0.062,10.379,0.036,10.11,0.041,11.551,1.65,17.76,13.54,1.65279218294376,0,10.69,10.71
120.22415,22.622409,11.894,0.059,12.234,0.032,12.058,0.025,11.879,0.055,13.096,1.641,19.113,15.345,1.6434828870420282,0,10.69,10.71
120.167313,22.098001,12.156,0.088,12.771,0.055,12.488,0.017,11.998,0.075,13.05,1.633,23.555,16.546,1.6381001190403472,0,10.69,10.71
321.664184,-1.497185,12.929,1.632,12.646,0.042,12.274,0.047,11.821,0.01,11.617,0.068,23.503,17.303,1.6346623504565094,0,10.69,10.71
118.801916,21.933519,11.534,0.083,12.107,0.021,11.836,0.052,11.432,0.066,12.82,1.628,21.404,15.898,1.6324135505441015,0,10.69,10.71
