RAJ2000,DEJ2000,nobs,Vmag,e_Vmag,Bmag,e_Bmag,gpmag,e_gpmag,rpmag,e_rpmag,ipmag,e_ipmag,fuv_mag,nuv_mag,present,type,min_mag,max_mag,class,Jmag,Hmag,Kmag,period,fuv-nuv,nuv-B,B-V,g-V,g-r,r-i,i-J,J-H,H-K
142.854816,4.537196,4,13.524,0.068,14.636,0.083,14.052,0.075,13.135,0.041,12.731,0.105,24.06,20.493,1,RS,13.15,0.14,Ellipsoidal/Reflection,11.373,10.765,10.641,,3.567,5.856999999999999,1.112,0.5280000000000005,0.9169999999999998,0.4039999999999999,1.3580000000000005,0.6079999999999988,0.12400000000000055
326.921643,-3.916923,8,15.567,0.105,16.007,0.092,15.759,0.025,15.409,0.059,15.339,0.079,22.904,18.979,1,DSCT|GDOR|SXPHE,15.52,15.56,Оґ Scuti & HADS,14.802,14.552,14.316,,3.9250000000000007,2.9719999999999978,0.4400000000000013,0.19200000000000017,0.34999999999999964,0.07000000000000028,0.5370000000000008,0.25,0.23599999999999888
349.597491,-2.352033,11,14.379,0.108,15.081,0.038,14.626,0.054,14.082,0.092,13.793,0.073,24.118,19.972,1,EW,13.99,0.07,Eclipsing,12.828,12.367,12.261,,4.145999999999997,4.891000000000002,0.702,0.2469999999999999,0.5439999999999987,0.2890000000000015,0.9649999999999999,0.4609999999999985,0.10600000000000165
325.530945,2.108572,7,14.551,0.041,15.224,0.028,14.857,0.036,14.371,0.04,14.31,0.156,22.941,19.904,1,ROT,14.42,14.45,General Rotators,13.406,13.169,13.12,,3.036999999999999,4.68,0.673,0.30599999999999916,0.4859999999999989,0.06099999999999994,0.9039999999999999,0.2370000000000001,0.049000000000001265
353.456948,-11.866178,10,14.524,0.068,14.92,0.094,14.665,0.044,14.471,0.104,14.428,0.059,21.905,17.627,1,DSCT|GDOR|SXPHE,14.31,14.44,Оґ Scuti & HADS,13.738,13.582,13.511,,4.278000000000002,2.706999999999999,0.3960000000000008,0.14100000000000001,0.19399999999999906,0.04299999999999926,0.6900000000000013,0.1559999999999988,0.0710000000000015
319.898667,-1.022834,4,15.258,0.064,16.261,0.085,15.744,0.023,14.903,0.047,14.582,0.125,20.403,19.874,1,ROT,14.93,14.94,General Rotators,13.449,12.967,12.887,,0.5289999999999999,3.6129999999999995,1.0030000000000001,0.48600000000000065,0.8409999999999993,0.32099999999999973,1.133000000000001,0.4819999999999993,0.08000000000000007
45.73143,-11.914401,6,14.314,0.059,14.632,0.099,14.391,0.093,14.284,0.073,14.244,0.049,21.384,17.477,1,RRC,14.22,0.42,RR Lyrae,13.533,13.322,13.234,,3.907,2.8450000000000006,0.3179999999999996,0.07699999999999996,0.10699999999999932,0.040000000000000924,0.7110000000000003,0.2110000000000003,0.08799999999999919
347.898464,-1.154181,7,14.194,0.088,15.53,0.03,14.915,0.071,13.655,0.097,12.897,0.081,22.648,20.79,1,EB,14.13,14.41,Eclipsing,11.311,10.611,10.45,,1.8580000000000005,5.26,1.3359999999999985,0.7209999999999983,1.2599999999999998,0.7579999999999991,1.5860000000000003,0.6999999999999993,0.16100000000000136
10.696274,15.022441,4,13.996,0.032,14.582,0.026,14.259,0.032,13.843,0.026,13.768,0.162,23.035,18.247,1,EA,13.84,0.31,Eclipsing,12.902,12.609,12.519,,4.788,3.664999999999999,0.5860000000000003,0.2629999999999999,0.41600000000000037,0.07499999999999929,0.8660000000000014,0.29299999999999926,0.08999999999999986
324.699587,-1.35743,26,10.094,0.123,10.382,0.045,10.147,0.032,10.039,0.081,10.067,0.07,17.467,13.568,1,DSCT|GDOR|SXPHE,10.41,10.43,Оґ Scuti & HADS,9.891,9.745,9.442,,3.898999999999999,3.186,0.28800000000000026,0.053000000000000824,0.10800000000000054,-0.02800000000000047,0.17600000000000016,0.1460000000000008,0.30299999999999905
